﻿Sr.No.,Response No,IP Address,Email Address,StartTime,EndTime,1.Lugar de procedencia,2.¿En qué municipio reside?,3.Edad,4.Sexo,5.¿Ha utilizado usted alguna planta para tratar alguna enfermedad/afección?,6.¿Conoce usted el achiote (Bixa orellana L.)?,7.¿Estaría dispuesto a conocer más sobre los usos ancestrales del achiote (Bixa orellana L.)?,8.¿Qué tan efectivo cree usted que son los tratamientos alternativos de achiote?,"9.Por favor, explique su elección en la pregunta anterior:",10.He leído,11.¿Conoce usted otro nombre para el achiote?,12.¿Qué usos ha oído usted del achiote? ¿cuáles usos le ha dado usted al achiote?,,,,,,13.De las opciones de abajo seleccione aquellas que usted conozca como aplicaciones del achiote,,,,,,,,,,,14.¿Con qué frecuencia utiliza el achiote en cualquiera de sus presentaciones?,15.¿Cómo obtiene usted el achiote (Bixa orellana L.)?,,,,,,,16.¿Está usted al tanto que es posible conseguir achiote en los centro de conveniencia bajo el apartado de especias?,17.Seleccione qué parte de la planta Bixa orellana L. (achiote) se utiliza para obtener el polvo rojo comúnmente comercializado,18.¿Conoce alguna otra planta tintórea de comida?,19.¿Ha utilizado usted alguna planta tintórea de comida?,20.¿Qué formas de preparación conoce usted para usar el achiote como medicina?,,,,,,,,,21.¿Qué tan dispuesto está usted a utilizar el achiote como sustituto de la medicina occidental?,"22.Por favor, explique su elección en la pregunta anterior:",23.Seleccione las maneras en las cuáles estaría usted de acuerdo en administrar medicamento fabricado con achiote,,,,,,,,24.¿Qué tan efectivo cree usted que son los tratamientos alternativos de achiote?,"25.Por favor, explique su elección en la pregunta anterior:"
,,,,,, , , , , , , , , ,si, ,Tinte,Culinario,Medicinal,Cosmético,Ninguno de los anteriores,Other,Repelente de mosquitos,Protector solar,Alivio para la diarrea,Tinte para textiles,Colorante en pintalabios,Colorante de comidas y bebidas,Alivio de la fiebre,Quita el dolor en los dientes,Aumenta el flujo de leche materna,No conozco ninguna aplicación del achiote,Other, ,Mercado,Supermercado,Tienda de conveniencia,Distribuidor personal,Producción propia,No obtengo achiote,Other, , , , ,Infusión o té,Hervida,Frotada,Machacada,En jugo,Masticada,Molida,No conozco ninguna preparación,Other, , ,Aplicación local,Lavados,Aplicación en baños,Aplicación nasal,No estoy de acuerdo con ninguna de las maneras anteriores,En infusión,En cápsulas,Other, , ,
1,7,190.56.74.230,Public Access,9/18/2020 11:36,9/18/2020 11:42,Casco urbano,Guatemala,15-35 años,Masculino,No,Si,,,,,No,Tinte,Culinario,,,,,,,,Tinte para textiles,,Colorante de comidas y bebidas,,,,,,Una vez cada seis meses,Mercado,,Tienda de conveniencia,,,,,No,Fruto,Remolacha,"Si, ¿cuál? ¿cómo?:Remolacha. Ensaladas, curtido",,,,,,,,No conozco ninguna preparación,,3,Tendría que saber cómo sustituto de qué medicina se puede usar y para qué se puede usar,Aplicación local,,,,,En infusión,En cápsulas,,3,No conozco la efectividad pero imagino ha de ser buena,
2,70,143.208.57.62,Public Access,9/22/2020 18:50,9/22/2020 19:56,Casco urbano,GUATEMALA,56-75 años,Femenino,"Si, ¿cuál? ¿cómo?:Manzanilla",Si,,,,,No,Tinte,Culinario,,Cosmético,,,,,,Tinte para textiles,Colorante en pintalabios,Colorante de comidas y bebidas,,,,,,No lo utilizo,Mercado,Supermercado,Tienda de conveniencia,,,,,Si,Fruto,Remolacha,"Si, ¿cuál? ¿cómo?:Remolacha",,,,,,,,No conozco ninguna preparación,,3,Excelente alternativa al saber de sus propiedades,Aplicación local,,,,,En infusión,En cápsulas,,4,Las medicinas naturales son las mejores alternativas,
3,71,181.209.150.161,Public Access,9/22/2020 23:12,9/22/2020 23:17,Casco urbano,Guatemala,15-35 años,Femenino,"Si, ¿cuál? ¿cómo?:Para el estómago y afecciones respiratorias ; manzanilla, jengibre, ajo, cúrcuma, hijo",Si,,,,,No,Tinte,,Medicinal,,,,,,,Tinte para textiles,,Colorante de comidas y bebidas,,,,,,No lo utilizo,,,,,,No obtengo achiote,,Si,Fruto,Remolacha,"Si, ¿cuál? ¿cómo?:Cúrcuma",,,,,,,,No conozco ninguna preparación,,5,"Recién estoy aprendiendo de todos los usos del achiote, sin duda comenzaré a usarlo más seguido.",Aplicación local,Lavados,Aplicación en baños,Aplicación nasal,,En infusión,En cápsulas,,4,No he sido testigo de los efectos pero consideró que si es efectivo,
4,72,186.151.61.52,Public Access,9/22/2020 23:18,9/22/2020 23:20,Casco urbano,Guatemala,15-35 años,Femenino,No,No,Si,4,Puede ser efectivo ya que hay muchas plantas con propiedades curativas,si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,73,181.209.195.27,Public Access,9/22/2020 23:19,9/22/2020 23:25,Casco urbano,Santa Catarina Pinula,15-35 años,Femenino,No,Si,,,,,No,,Culinario,,,,,,,Alivio para la diarrea,,,Colorante de comidas y bebidas,,,Aumenta el flujo de leche materna,,,Una vez cada seis meses,,Supermercado,,,,,,Si,Raíz,Remolacha,No,Infusión o té,Hervida,,,En jugo,,,,,5,Considero que el achiote posee muchos beneficios medicinales que nadie conoce ya que no es común,,,,,,En infusión,En cápsulas,,4,Muchas medicinas provienen de plantas,
6,74,190.148.50.40,Public Access,9/22/2020 23:26,9/22/2020 23:37,Casco urbano,Guatemala,15-35 años,Femenino,No,Si,,,,,No,Tinte,Culinario,,,,,,,,Tinte para textiles,,Colorante de comidas y bebidas,,,,,,Mensualmente,,,,,,No obtengo achiote,Otro::En los tamales que compro,Si,Semillas,Remolacha,"Si, ¿cuál? ¿cómo?:Cúrcuma en arróz",,,,,,,,No conozco ninguna preparación,,5,Siempre estoy dispuesta s probsr alternativas,Aplicación local,,,,,En infusión,En cápsulas,,3,"no lo he probado medicinalmente, entonces no estoy segurs",
7,75,186.151.92.6,Public Access,9/23/2020 16:37,9/23/2020 16:43,Casco urbano,Guatemala,56-75 años,Femenino,"Si, ¿cuál? ¿cómo?:te de manzanilla y pericon",Si,,,,,No,Tinte,Culinario,,Cosmético,,,,,,Tinte para textiles,Colorante en pintalabios,Colorante de comidas y bebidas,,,,,,No lo utilizo,,Supermercado,Tienda de conveniencia,,,,,Si,Hojas,Remolacha,No,,,,,,,,No conozco ninguna preparación,,3,como te,Aplicación local,,,,,En infusión,,,3,pues lo natural hace efecto muy lentamente,
8,76,186.151.92.6,Public Access,9/23/2020 16:48,9/23/2020 16:55,Casco urbano,Guatemala,56-75 años,Masculino,"Si, ¿cuál? ¿cómo?:lienzos de apasote para la inflamación",Si,,,,,No,,Culinario,Medicinal,Cosmético,,,,,,Tinte para textiles,Colorante en pintalabios,Colorante de comidas y bebidas,,,,,,Una vez cada seis meses,Mercado,Supermercado,,,,,,Si,Semillas,Remolacha,No,,,,,,,Molida,,,2,influencia mediática de la medicina química,,Lavados,,,,,,,3,No tengo demasiada experiencia en su uso,
9,77,186.151.92.15,Public Access,9/23/2020 17:25,9/23/2020 17:29,Casco urbano,Mixco,15-35 años,Femenino,"Si, ¿cuál? ¿cómo?:Manzanilla",No,Si,4,,si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
